"origName","decimalLongitude","decimalLatitude","year","database","acceptName","name","longitude","latitude","ID"
"Paspalum dilatatum",22.23111,-33.668,1966,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.23111,-33.668,91
"Paspalum dilatatum",22.2525,-33.4408,1966,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.2525,-33.4408,92
"Paspalum dilatatum",22.2525005340576,-33.4408302307129,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.2525005340576,-33.4408302307129,93
"Paspalum dilatatum",22.25806,-33.2725,1959,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.25806,-33.2725,94
"Paspalum dilatatum",22.2580604553223,-33.2724990844727,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.2580604553223,-33.2724990844727,95
"Paspalum dilatatum",22.375,-34.125,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.375,-34.125,96
"Paspalum dilatatum",22.37611,-33.818,1963,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.37611,-33.818,97
"Paspalum dilatatum",22.3761100769043,-33.8180618286133,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.3761100769043,-33.8180618286133,98
"Paspalum dilatatum",22.4019393920898,-33.8997192382813,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.4019393920898,-33.8997192382813,99
"Paspalum dilatatum",22.40194,-33.8997,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.40194,-33.8997,100
"Paspalum dilatatum",22.4461097717285,-33.2861099243164,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.4461097717285,-33.2861099243164,101
"Paspalum dilatatum",22.44611,-33.2861,1959,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.44611,-33.2861,102
"Paspalum dilatatum",22.49444,-33.518,1959,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.49444,-33.518,103
"Paspalum dilatatum",22.4944400787354,-33.5180587768555,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.4944400787354,-33.5180587768555,104
"Paspalum dilatatum",22.53222,-33.4861,1959,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.53222,-33.4861,105
"Paspalum dilatatum",22.5322208404541,-33.4861106872559,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.5322208404541,-33.4861106872559,106
"Paspalum dilatatum",22.54833,-33.7952,1964,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.54833,-33.7952,107
"Paspalum dilatatum",22.5483303070068,-33.795280456543,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.5483303070068,-33.795280456543,108
"Paspalum dilatatum",22.5488891601563,-33.9908294677734,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.5488891601563,-33.9908294677734,109
"Paspalum dilatatum",22.54889,-33.9908,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",22.54889,-33.9908,110
