origName,decimalLongitude,decimalLatitude,year,database,acceptName
Paspalum dilatatum,-120.92497,37.794273,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.91987,37.793462,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.87806,38.12,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.866170702696,37.6384567519235,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.85472,39.18083,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.85361,38.46833,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.84694,38.47944,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.832703,37.772587,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.82861,38.68611,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.82563,35.346584,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.82222,38.76639,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.79917,38.77333,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.782903,38.73567,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.780833,38.505833,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.78083,38.50583,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.77778,38.92222,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.7757,35.8007,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.76806,38.78806,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.768056,38.788056,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.763838,37.644255,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.75861,38.275,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.753056,38.743611,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.752978,38.743618,NA,GBIF,Paspalum dilatatum Poir.
