"name","decimalLongitude","decimalLatitude"
"Paspalum urvillei",121.4455,24.83725
"Paspalum urvillei",151.0124,-33.76525
"Paspalum urvillei",150.9632,-34.0475
"Paspalum urvillei",150.9632,-34.0475
"Paspalum urvillei",153.6051,-28.69256
"Paspalum urvillei",121.6854,24.96529
"Paspalum urvillei",150.7718,-33.80793
"Paspalum urvillei",151.607,-32.97452
"Paspalum urvillei",151.0317,-33.76439
"Paspalum urvillei",150.7578,-33.74618
"Paspalum urvillei",151.023,-33.76247
"Paspalum urvillei",150.7548,-33.74575
"Paspalum urvillei",150.9629,-33.76553
"Paspalum urvillei",151.1381,-33.79817
"Paspalum urvillei",152.7887,-31.52098
"Paspalum urvillei",148.387,-37.74518
"Paspalum urvillei",151.1467,-33.79886
"Paspalum urvillei",151.0767,-34.00108
"Paspalum urvillei",121.4114,24.95483
"Paspalum urvillei",152.7699,-27.57857
"Paspalum urvillei",151.4724,-33.26418
"Paspalum urvillei",152.4694,-28.89573
"Paspalum urvillei",121.402,24.97713
"Paspalum urvillei",148.387,-37.74518
"Paspalum urvillei",152.4296,-29.2686
"Paspalum urvillei",151.7491,-32.76582
"Paspalum urvillei",152.4316,-29.2707
"Paspalum urvillei",121.6161,25.06092
"Paspalum urvillei",121.4444,25.01577
"Paspalum urvillei",152.4054,-28.92082
"Paspalum urvillei",153.6223,-28.64368
"Paspalum urvillei",150.8463,-33.69186
"Paspalum urvillei",152.4296,-29.2686
"Paspalum urvillei",151.2813,-33.67125
"Paspalum urvillei",152.8519,-31.55918
"Paspalum urvillei",151.1987,-33.52531
"Paspalum urvillei",151.1915,-33.49758
"Paspalum urvillei",151.4273,-33.30671
"Paspalum urvillei",121.9288,25.03581
"Paspalum urvillei",151.6406,-32.76908
"Paspalum urvillei",151.8729,-32.71801
"Paspalum urvillei",152.1518,-32.64081
"Paspalum urvillei",152.156,-32.64355
"Paspalum urvillei",151.4272,-33.30657
"Paspalum urvillei",151.1902,-33.47689
"Paspalum urvillei",152.9947,-30.65218
"Paspalum urvillei",152.1534,-32.64243
"Paspalum urvillei",152.3775,-29.45173
"Paspalum urvillei",152.1536,-32.64127
"Paspalum urvillei",152.1621,-32.6443
"Paspalum urvillei",151.6054,-32.97287
"Paspalum urvillei",152.1601,-32.64815
"Paspalum urvillei",121.5068,25.14355
"Paspalum urvillei",152.825,-30.54385
"Paspalum urvillei",121.4599,25.14383
